,Clean_Headlines
220," 'A video of Shaaban al-Dalou burning to death after an Israeli strike at a hospital has stoked criticism from Israel’s allies and highlighted the plight of people trapped in Gaza.', 'web_url'"
221," 'For Rome, the rare Christmas Eve rite of redemption is cause for celebration this year. For Bethlehem, it is another grim reminder of the generations of war and deprivation.', 'web_url'"
222," 'Even with Sinwar gone, I’m doubtful Hamas will fold or that Israel will easily embrace Biden’s ideas for a peace deal.', 'web_url'"
223," 'A unit of Israeli trainee soldiers came upon Yahya Sinwar, the leader of Hamas, while on an operation in southern Gaza, defense officials said.', 'web_url'"
224," 'Secretary of State Antony J. Blinken tried to get Prime Minister Benjamin Netanyahu of Israel to envision a U.S.-backed plan for ending the war in Gaza, but there was no sign of progress.', 'web_url'"
225," 'Iran’s initial reaction suggested that the sides had once again averted an uncontrolled war, even if the prospect looms larger than ever.', 'web_url'"
226," 'If Iran strikes back at Israel, it risks further escalation at a time when its economy is struggling and its military is vulnerable. If it doesn’t, it risks looking weak.', 'web_url'"
227," '“It is time for the day after to begin without Hamas in power,” the vice president said after the Israeli military confirmed that Yahya Sinwar, the leader of the militant group, had been killed.', 'web_url'"
228," 'The endorsement has roiled Hamtramck, Mich., angering many in the Muslim community, as well as longtime residents who welcomed the newcomers.', 'web_url'"
229," 'An update on the fighting in the Middle East.', 'web_url'"
230," 'The senator discusses the “astonishing” support for the former president in Pennsylvania, his rift with progressives over Israel and his own position in the Democratic Party.', 'web_url'"
231," 'Thirteen children and a woman from the same family were among several Palestinians killed in overnight Israeli strikes on Khan Younis in southern Gaza.', 'web_url'"
232," 'Israel says it was bombing a structure associated with Hezbollah and says it is reviewing the strike.', 'web_url'"
233," 'In the Iranian capital’s Palestine Square, a series of murals have telegraphed warnings to the country’s enemies.', 'web_url'"
234," 'Some of the sharpest criticism about a lack of sufficient assistance in the enclave came from Israel’s allies, including the United States.', 'web_url'"
235," 'The two countries have been fighting a shadow war for years. Now, their conflict has burst into the open.', 'web_url'"
236," 'Despite losing leaders and weapons stockpiles, the militant group remains resilient, experts say.', 'web_url'"
237," 'Plus, the new hot item on wedding registries.', 'web_url'"
238," 'The president, in a trip to Berlin that lasted barely a day, also joined Chancellor Olaf Scholz of Germany in expressing new optimism about the prospect for peace in the Middle East.', 'web_url'"
239," 'The killing of Hamas’s leader may allow Israel to claim victory and agree to a cease-fire, and new Hamas leadership could be more open to compromise. But neither side is likely to immediately change course.', 'web_url'"
240," 'There was no official response from the Israeli government, a day after the United States threatened consequences if it didn’t let more relief into Gaza within 30 days.', 'web_url'"
241," 'The three worked for Lebanese news organizations, their employers said. Lebanon’s health ministry said they had been staying in a residence housing journalists.', 'web_url'"
242," 'A top deputy to the killed Hamas leader Yahya Sinwar vowed that his “banner will not fall” and that the group would hold to its cease-fire conditions.', 'web_url'"
243," 'When a Columbia professor needed a lawyer because of her comments about the actions of former Israeli soldiers on campus, tensions over the Israel-Hamas war got in the way.', 'web_url'"
244," 'Israel and the United States plan to send envoys next week to negotiations in Qatar, as the related wars in Gaza and Lebanon rage on.', 'web_url'"
245," 'The warning was conveyed in a letter sent Sunday to two top Israeli officials that included the possibility of a cutoff of U.S. military aid, officials said.', 'web_url'"
246," 'Muslim and Arab voters were part of the coalition in Georgia who delivered victories to Democrats there in 2020 and in 2022. Maya King, a politics reporter for The New York Times covering the Southeast, describes how war in the Middle East is affecting their choice in 2024.', 'web_url'"
247," 'An all-out war could entangle countries around the world and threaten the global economy.', 'web_url'"
248," 'People worked through smoke and darkness to extinguish fires and look through debris following the deadly attack on Deir al-Balah.', 'web_url'"
249," 'Abandoned and off limits to civilians, Metula, a symbol of early pioneering Zionism, is left half-ruined by Hezbollah’s rockets and missiles.', 'web_url'"
250," 'In fights to sway public sentiment, critics often point to costly clothes as evidence of moral corruption.', 'web_url'"
251," 'Israel and its foes share one thing in common.', 'web_url'"
252," 'Two veterans of Trump’s term look ahead to a potential second term and what it would mean for the world.', 'web_url'"
253," 'The news organization strongly denied the accusations, which it said were based on “fabricated evidence” and followed a long history of Israeli hostility toward the network.', 'web_url'"
254," 'At least four Palestinians taking shelter by a hospital were killed in a strike Israeli officials said was targeting a Hamas command center.', 'web_url'"
255," 'The success of the polio vaccination campaign in Gaza shouldn’t obfuscate the threat of other diseases.', 'web_url'"
256," 'Scores of families sheltering outside Al Aqsa Martyrs Hospital say they have survived a string of Israeli strikes on the compound and feel trapped with nowhere to go.', 'web_url'"
257," 'Defense Secretary Lloyd J. Austin III said that Washington had not seen evidence to support Israel’s claim that Hezbollah was using a bunker complex embedded underneath Al-Sahel hospital in Beirut.', 'web_url'"
258," 'Three Israeli human rights groups in early June, following the closure of the Rafah border crossing between Gaza and Egypt', 'web_url'"
259," 'Gen. Abbas Kamel, a longtime confidant of Egypt’s president, oversaw the country’s most important international relationships and helped maintain the president’s authoritarian grip.', 'web_url'"
260," 'The two countries have been fighting a shadow war for years. But direct attacks are bringing direct reprisals, or at least plans for them.', 'web_url'"
261," 'The campaign is hoping Facebook ads, WhatsApp channels and small meetings with disillusioned voters will help turn the tide.', 'web_url'"
262," 'Amna Soliman says she can’t leave her mother, who is in a wheelchair, so she stays, despite heavy fighting and repeated warnings to leave.', 'web_url'"
263," 'Homes in northern Israel along the Lebanon border have been under the constant threat of Hezbollah’s rocket attacks since October of last year. We look at life on the ground for the few Israelis who stayed behind.', 'web_url'"
264," 'Israel and Hezbollah say they will keep up attacks in an escalating conflict that has devastated Gaza, is causing misery in Lebanon and could draw Iran deeper into the fighting.', 'web_url'"
265," 'U.N. Security Council Resolution 1701 was intended to create a buffer zone between Israel and Hezbollah. Here’s a look at why it didn’t and what lies ahead in efforts to end the conflict in Lebanon.', 'web_url'"
266," 'The demand from Israel’s closest ally came amid reports that the humanitarian catastrophe in the Gaza Strip has grown still worse in recent weeks.', 'web_url'"
267, 'The deaths showed the complexity of Israel’s fight with Hezbollah
268," 'The suspects, all Israeli citizens, conducted intelligence missions for two years under the direction of two Iranian agents, the authorities said.', 'web_url'"
269," 'A two-state solution remains the goal of the United States and the West, but many in the region say the devastation in Gaza and the lack of effective Palestinian leadership make it a remote prospect.', 'web_url'"
270," 'The Terminal High Altitude Area Defense system was in place, Defense Secretary Lloyd J. Austin III said on Monday. The deployment comes as Israel prepares for retaliatory attacks against Iran.', 'web_url'"
271," 'Israeli soldiers and Palestinian former detainees say troops have regularly forced captured Gazans to carry out life-threatening tasks, including inside Hamas tunnels.', 'web_url'"
272," 'Israel’s military said it was “operating with great force” against Hamas and allied groups and issued new evacuation orders, as it also continued its campaign in Lebanon.', 'web_url'"
273," 'Thousands joined families of hostages held in Gaza during a protest in Tel Aviv to call on Prime Minister Benjamin Netanyahu’s government to reach a cease-fire deal and to push for the release of hostages.', 'web_url'"
274," 'Would school administrators be silent if there was a Ku Klux Klan gathering on their campus celebrating white supremacist violence?', 'web_url'"
275," 'Three generations on, filmmakers, writers and artists are making new meaning from ancestral trauma.', 'web_url'"
276," 'In a televised statement, family members of people held in Gaza said the death of Hamas’s leader, Yahya Sinwar, was the moment for a cease-fire and hostage deal.', 'web_url'"
277," 'Lloyd J. Austin lamented that civilian casualties during Israel’s war in Lebanon were “far too high.”', 'web_url'"
278," 'Footage obtained by Reuters shows a burned-out ambulance and dark smoke rising on the grounds of a hospital in Jabaliya, in northern Gaza.', 'web_url'"
279," 'Amid the growing Israel-Hezbollah conflict, Firas Hamdan regularly visits his hometown, Hasbaya, near the border with Israel. As part of a new generation of Lebanese politicians, he is addressing rising fears as Israeli strikes hit the surrounding area.', 'web_url'"
280," 'Just about all of the actors in the region are looking for an “offramp” to the conflict, many analysts say. But Hezbollah and Hamas are talking tough, and Israel is not backing down.', 'web_url'"
281," 'American commandos and intelligence officers began helping Israel soon after the Oct. 7 attacks last year.', 'web_url'"
282," 'Najia and Hammam Malaka have been stuck at opposite ends of the Gaza Strip, with their young children, for most of the yearlong conflict. The emotional toll has been devastating.', 'web_url'"
283," 'Extensive Israeli attacks have blown up Hezbollah munitions and killed many fighters and leaders, but the Lebanese militia is far from incapacitated, analysts say.', 'web_url'"
284," 'UNICEF said women and children were killed in an airstrike while waiting for malnutrition treatment.', 'web_url'"
285," 'What does the killing of Yahya Sinwar, mastermind of the Oct. 7 attack, mean for Israel and Gaza? Ronen Bergman, a staff writer for The New York Times Magazine who is based in Tel Aviv, explains.', 'web_url'"
286," 'Israeli forces had been steadily closing in on Yahya Sinwar, the Hamas leader, for weeks before he was cornered and killed in a ruined house in the Gaza Strip.', 'web_url'"
287," 'In a war often seen from far away, the footage from an Israeli drone appears to capture a moment both pivotal and personal.', 'web_url'"
288," 'Uncertainty surrounds the fate of the Hamas leader’s corpse as experts say Israel will likely try to avoid having his resting place become a shrine.', 'web_url'"
289," 'A ceasefire is unlikely, but Israelis and Palestinians have new reasons for hope.', 'web_url'"
290," 'Campaigning in the battleground on the same day, Kamala Harris cast herself as a friend to union workers while Donald Trump sought to capitalize on anger over the war in Gaza.', 'web_url'"
291," 'While some Israelis expressed hope that the war might end soon, many Palestinians were doubtful that the death of Yahya Sinwar would lead to a cease-fire.', 'web_url'"
292," 'Assassinating Yahya Sinwar was Israel’s Osama bin Laden moment. But getting a cease-fire deal done in the last three months of the Biden presidency is a much bigger reach.', 'web_url'"
293," 'Israel’s killing of the Hamas leader Yahya Sinwar is the latest expression of Israel’s belief that regional acceptance will be achieved only through strength.', 'web_url'"
294," 'About two dozen buildings were demolished in the village, which The Times identified as Mhaibib, just over a mile from Israel’s northern border.', 'web_url'"
295," 'Analysts call the killing of several Hamas leaders, including Yahya Sinwar, a deep blow to the Palestinian militant group, but expect it to keep fighting.', 'web_url'"
296," 'Yahya Sinwar is dead. Could this be a turning point?', 'web_url'"
297," 'Yahya Sinwar, the leader of Hamas, was killed by Israeli forces in Gaza. What does that mean for cease-fire talks?', 'web_url'"
298," 'The Justice Department has accused two Sudanese brothers of cyberattacks on U.S. infrastructure as well as preventing possibly lifesaving alerts from reaching Israelis as the Hamas attack unfolded.', 'web_url'"
299," 'The report, which does not have the force of law, found that the Israeli military had engaged in deliberate assaults on hospitals and other health care providers.', 'web_url'"
300," 'Although Yahya Sinwar was a major target of Israel’s military campaign in Gaza, the soldiers who killed the militant chief had not expected to run across him, Israeli officials said.', 'web_url'"
301," 'The video shows a room that matches photographs obtained by The Times that show the corpse of a man closely resembling the Hamas leader.', 'web_url'"
302," 'Another opening for the U.S. to push for a cease-fire.', 'web_url'"
303," 'Yahya Sinwar had been the No. 1 target for Israel since the beginning of the war in Gaza.', 'web_url'"
304," 'After arriving in Berlin for previously scheduled meetings, the president said he was sending the secretary of state to Israel in the coming days.', 'web_url'"
305," 'Will Israel take steps toward a Palestinian state?', 'web_url'"
306," 'Top figures in the Palestinian militant group have long been targeted by Israel.', 'web_url'"
307," 'Mr. Sinwar climbed the ranks of the Palestinian militant group to plot the deadliest attack on Israel in its history.', 'web_url'"
308," 'A hunger emergency has affected nearly all of Gaza, but the situation is worst for people in the north, where Israeli forces intensified operations this month, the report said.', 'web_url'"
309," 'Much of Gaza has been destroyed by Israel’s relentless military campaign.', 'web_url'"
310," '“Nearly every day I was there, I saw a new young child who had been shot in the head or the chest, virtually all of whom went on to die.”', 'web_url'"
311," 'Massad Boulos, Tiffany Trump’s father in-law, has been working behind the scenes to persuade a critical group of voters in Michigan.', 'web_url'"
312," 'An aide, speaking on the condition of anonymity, pointed to the former president’s trip to Israel. But Gaza is not in Israel.', 'web_url'"
313," 'Pentagon officials discuss whether the flow of assistance could be hurting the military’s ability to respond to a new conflict.', 'web_url'"
314," 'Since Oct. 7, 80 percent of the schools in Gaza have been damaged or destroyed. Mosab Abu Toha reflects on what has been lost.', 'web_url'"
315," 'The Lebanese have held strong through many tragedies. But they are now at the end of their rope.', 'web_url'"
316," 'Schools across Gaza have turned into refugee centers, and Israeli attacks on them have killed hundreds.', 'web_url'"
317," 'The university said Shai Davidai had repeatedly harassed and intimidated employees. He said the university had not done enough to crack down on pro-Palestinian protests.', 'web_url'"
318," 'Schools, clubs and parks have become places of refuge as the displaced seek safety amid Israeli bombings.', 'web_url'"
319," 'A real strategy for coercive U.S. diplomacy to change Iran’s behavior.', 'web_url'"
320," 'Seven New York Times photojournalists describe moments that have defined a year of war.', 'web_url'"
321," 'The war has killed tens of thousands and devastated entire cities, leaving many in Gaza without a home and fueling a humanitarian catastrophe.', 'web_url'"
322," 'Israel appeared to label much of northern Gaza as an evacuation zone and in Lebanon, Israeli airstrikes targeted Hezbollah strongholds, as the region also braced for Israel to hit back at Iran.', 'web_url'"
323," 'Plus, an investigation into China’s panda factories.', 'web_url'"
324," 'Instead, Israel has agreed to focus its next attack on military targets in Iran, the officials said.', 'web_url'"
325," 'Brig. Gen. Esmail Ghaani, commander of the elite Quds Force, appeared in video footage on Tuesday as Tehran braces for a possible counterstrike by Israel.', 'web_url'"
326," 'Plus, misinformation is hampering the Helene aid effort.', 'web_url'"
327," 'The United Nations says “the targeting of health and relief operations is broadening” in Lebanon. Hospitals say they have been forced to close or are struggling to operate.', 'web_url'"
328," 'It can intercept missiles above Earth’s atmosphere, and is being deployed to defend against Iranian attacks.', 'web_url'"
329," 'The French leader’s comments drew the condemnation of Israel’s prime minister, Benjamin Netanyahu, and reflected the growing international concern over Israel’s expanding conflicts in the region.', 'web_url'"
330," 'Mairav Zonszein argues there will be a cost to her country’s “indifference” toward Palestinians.', 'web_url'"
331," 'Hundreds of thousands of civilians have been prevented from fleeing the narrow strip of land even as bombs have rained down, famine has loomed and disease has spread.', 'web_url'"
332," 'Israel’s military showed journalists parts of what it said was Hezbollah’s deeply entrenched military infrastructure across the border in southern Lebanon.', 'web_url'"
333," 'The Pentagon announced it would send the Terminal High Altitude Area Defense battery and its crew as Israel considered retaliatory attacks against Iran.', 'web_url'"
334," 'A year after their home in Israel was torched and her family was taken by attackers on Oct. 7, a wife and mother clings to the hope that her husband might still come home alive.', 'web_url'"
335," 'My name is Yaffa Adar. I’m 86 years old. I was a hostage of Hamas.', 'web_url'"
336," 'The strike, which wounded dozens, showed that the militant group remains a force.', 'web_url'"
337," 'The Times reviewed the minutes of 10 meetings among Hamas’s top leaders. The records show the militant group avoided several escalations since 2021 to falsely imply it had been deterred — while seeking Iranian support for a major attack.', 'web_url'"
338," 'Explaining the issues of sovereignty, self-defense and humanitarian safeguards.', 'web_url'"
339," 'Rescuers dug through rubble in Beirut as the caretaker prime minister implored the United Nations to adopt a resolution calling for an “immediate” truce between Israel and Hezbollah.', 'web_url'"
340," 'Defense Secretary Lloyd J. Austin III spoke with his Israeli counterpart, Yoav Gallant, on Thursday, the Pentagon said.', 'web_url'"
341, 'A woman in a town surrounded by Israeli troops said she and her family stayed away from the windows and prayed for relief
342," 'The journalist discusses his experience visiting Israel and the West Bank.', 'web_url'"
343," 'Gov. Tim Walz addressed a virtual event hosted by a group focused on building Muslim American political power.', 'web_url'"
344," 'Thousands have fled the town of Baalbek amid a barrage of Israeli airstrikes. For those who remain, Ali Jawad’s business is a critical piece of an informal safety net.', 'web_url'"
345," 'She was returned to her family in Iraq after a complex operation involving the United States, Jordan and others, the Israeli military said.', 'web_url'"
346," 'The attack, for which Lebanese officials blamed Israel, appeared to be the deadliest in the Lebanese capital in more than a year of fighting between the Israeli military and Hezbollah.', 'web_url'"
347," 'The cabinet was expected to authorize initiating a retaliatory attack, officials said. They didn’t make their decision public.', 'web_url'"
348," 'Once lively and densely packed, the area on the edges of Beirut that was hit by an Israeli strike is now vacant.', 'web_url'"
349," 'The Palestinian Authority’s official news agency said the Israeli military operation had included an incursion by ground troops and airstrikes.', 'web_url'"
350," 'A week into the ground war between Israel and Hezbollah, shelters in Lebanon are filling up beyond capacity, humanitarian officials warned.', 'web_url'"
351," 'Columbia University Apartheid Divest has withdrawn an apology it made last spring for a member who said “Zionists don’t deserve to live.”', 'web_url'"
352," 'The university made a deal with pro-Palestinian students last spring to consider their demands if they ended a protest encampment. But the university board voted against divestment.', 'web_url'"
353," 'In a fraught meeting, the student government rejected a plan to redirect its budget from campus activities to aid for Gaza. But the fight is not over.', 'web_url'"
354," 'Ties between the U.S. and Israeli leaders have been strained over Israel’s conduct in Gaza. The Israeli defense minister delayed a much-anticipated trip to the U.S. at Mr. Netanyahu’s request.', 'web_url'"
355," 'Bob Woodward doesn’t know which story he wants to tell in his latest presidential chronicle.', 'web_url'"
356," 'The conversation carried the weight of the worst relationship between the United States and Israel in years.', 'web_url'"
357," 'Sameh al-Asali, who was sheltering in the city of Jericho in the Israeli-occupied West Bank, was killed when a large missile fragment slammed into him.', 'web_url'"
358," 'Tony Dokoupil’s exchange led to a rebuke from executives, but the mogul who controls the network, Shari Redstone, came to his defense.', 'web_url'"
359," 'The Biden administration is dealing with complex dynamics in the Middle East as it tries to keep conflicts involving Israel from escalating further.', 'web_url'"
360," 'Satellite images and videos offer an early glimpse of the devastation in southern Lebanon a week after Israeli ground troops moved in to confront Hezbollah militants.', 'web_url'"
361," 'The Trump Organization was in talks about Israeli hotels before the Hamas attack last year. It says it wants to resume them in the future, raising questions about the mingling of politics and money in the event of a second Trump term.', 'web_url'"
362," 'In an attack of its own, Hezbollah fired 180 “projectiles” into Israel, according to the Israeli military, which said most were intercepted.', 'web_url'"
363," 'Even supporters of Palestinian statehood should want Hamas and Hezbollah to lose.', 'web_url'"
364," 'The book, “War,” lays bare just how frustrated the president has become with Prime Minister Benjamin Netanyahu since the war in Gaza began.', 'web_url'"
365," 'Yoav Gallant and Defense Secretary Lloyd J. Austin III were expected to discuss Israel’s response to the Iranian missile assault on Israel last week.', 'web_url'"
366," 'Hashem Safieddine had been expected to succeed Hassan Nasrallah, his cousin. It was not immediately clear who “the replacement of the replacement” was.', 'web_url'"
367," 'The Israeli military has sent troops from four divisions across the border into Lebanon, but has not publicly disclosed how many.', 'web_url'"
368," 'It was not clear who was responsible for the broken windows, fake blood and pro-Palestinian slogans.', 'web_url'"
369," 'The Palestinian militant group fired rockets at Israel on the anniversary of its Oct. 7 attacks.', 'web_url'"
370," 'The American president promised equality. He didn’t deliver.', 'web_url'"
371," 'The Hamas-led attacks that day shattered Israelis’ faith in the state, and the year of war that followed has deepened society’s divisions. Yet many find hope in the people’s resilience.', 'web_url'"
372," 'The journalist Franklin Foer traced the Biden administration’s diplomacy in the Middle East since Oct. 7 and emerged with an “anatomy of a failure.”', 'web_url'"
373," 'What the words of ancient rabbis could and couldn’t teach me.', 'web_url'"
374," 'In the city, which is home both to the largest Jewish population outside Israel and to thousands of Palestinians, some gathered in protest and others in solemn remembrance.', 'web_url'"
375," 'Panelists at the Athens Democracy Forum discussed the widening conflict and the challenge of getting the warring parties to a consensus.', 'web_url'"
376," 'At an event marking the anniversary of Hamas’s Oct. 7 attack on Israel, Donald Trump claimed that antisemitism existed within the Democratic Party but not the Republican Party.', 'web_url'"
377," 'The school, citing safety, had said no to an event planned on the anniversary of the Oct. 7 attack by a chapter of Students for Justice in Palestine, but a judge’s ruling last week allowed it to go ahead.', 'web_url'"
378," 'Israelis gathered on Monday to mourn those killed or abducted on the deadliest day in the country’s history.', 'web_url'"
379," 'Condemning the Hamas-led attacks a year ago and calling again for the release of hostages in Gaza, Vice President Kamala Harris also spoke of “the immense suffering of innocent Palestinians.”', 'web_url'"
380," 'Gaza, Lebanon, Iran and Yemen"
381," 'In the immediate aftermath of the Hamas-led attacks on Oct. 7, the president stepped in to support Israel, counsel moderation and seek a lasting peace.', 'web_url'"
382," 'Family members of hostages held in Gaza are escalating their tactics to push for a cease-fire deal. They say the government is dragging out the war in Gaza for political reasons, and putting their family members’ lives at risk.', 'web_url'"
383," 'Family members of hostages held in Gaza are escalating their tactics to push for a cease-fire deal. ', 'web_url'"
384," 'The French leader said countries should stop supplying weapons to Israel, arguing that providing arms while demanding a cease-fire is inconsistent. That drew the Israeli leader’s fury.', 'web_url'"
385," 'Hamas’s Oct. 7 attack on Israel and the 12 months of conflagration that has followed.', 'web_url'"
386," 'For 22 years, Israeli forces have planned for this moment. But it seems unlikely that they will strike Iran’s nuclear facilities in the next round of retaliation, or that they would be successful without American help.', 'web_url'"
387," 'The U.S. ambassador Jane Hartley was en route to the dedication of a climate-themed mural in London by Shepard Fairey, who created the iconic Obama ‘Hope’ poster. But then a protest began.', 'web_url'"
388," 'More than 60 living hostages, and the bodies of about 35 others who are believed to be dead, are still in Gaza, according to the Israeli authorities.', 'web_url'"
389," 'A year after the Oct. 7 attacks, Kamala Harris faces deepening Democratic fractures in a crucial state. Interviews suggest that her support from Muslim and Arab Americans is drying up.', 'web_url'"
390," 'Two men in Israel and Gaza talk about how their lives have changed.', 'web_url'"
391," 'We’re covering the anniversary of the Oct. 7 attack — and how it has reshaped the Middle East.', 'web_url'"
392," 'An Oct. 7 survival memoir and a chronicle of theft in 1948 grapple with the history of a war-torn region.', 'web_url'"
393," 'Peace in the Middle East seems more elusive than ever, with Oct. 7 setting off a battle over not just land but the narrative itself.', 'web_url'"
394," 'The lawlessness and state violence directed at Palestinians for so long have at last started to seep into Jewish Israeli society.', 'web_url'"
395," 'After hearing the dance track that was playing a year ago when the Hamas-led assault began, the hundreds who had gathered stood for a minute of silence, broken by a bereaved mother’s cries.', 'web_url'"
396," 'In “Diary of a Crisis,” Saul Friedländer takes the violence and upheaval in Israel day by day.', 'web_url'"
397," 'Jewish voters in Pittsburgh feel squeezed by intolerance on the left and the right, and torn by presidential candidates seeking their support in a vital battleground state.', 'web_url'"
398," 'One year after being attacked, Israel has not won the battle on the ground or the battle for a good story to tell about itself and this war.', 'web_url'"
399," 'A year of war in Gaza has left college students and faculty feeling shaken and angry, with the world and with each other.', 'web_url'"
